트랙포인트고유번호,부모트랙고유번호,트랙포인트정렬순서,트랙포인트경도,트랙포인트위도,트랙포인트해발고도,트랙포인트X좌표,트랙포인트Y좌표
27041441,20193338814,568,128.323834,36.102243,291.91,0,0
27041451,20193338814,570,128.323942,36.10206,286.77,0,0
27041461,20193338814,572,128.324023,36.101893,280.35,0,0
27041471,20193338814,574,128.32413,36.101705,281.48,0,0
27041481,20193338814,576,128.324145,36.101533,279.13,0,0
27041511,20193338814,585,128.324816,36.100876,261.05,0,0
27041551,20193338814,598,128.325671,36.100257,245.48,0,0
27041571,20193338814,605,128.32549,36.099779,243.67,0,0
27041601,20193338814,615,128.325598,36.099097,258.62,0,0
27041621,20193338814,622,128.326303,36.098839,282.93,0,0
27041631,20193338814,632,128.326995,36.098157,295.53,0,0
27041641,20193338814,642,128.327694,36.097531,317.33,0,0
27041651,20193338814,652,128.328589,36.097184,350.9,0,0
27041661,20193338814,662,128.329139,36.09672,373.89,0,0
27041671,20193338814,672,128.328911,36.095908,400.27,0,0
27041681,20193338814,682,128.329201,36.095164,393.95,0,0
27041691,20193338814,685,128.329238,36.094916,409.79,0,0
27041701,20193338814,687,128.32931,36.094787,400.9,0,0
27041721,20193338814,691,128.329467,36.094477,419.13,0,0
27041731,20193338814,693,128.329552,36.09428,424.35,0,0
27041741,20193338814,695,128.329712,36.094179,415.4,0,0
27041771,20193338814,701,128.330012,36.093819,420.01,0,0
27041781,20193338814,703,128.330069,36.093699,445.03,0,0
27041791,20193338814,705,128.330092,36.093571,445.52,0,0
27041821,20193338814,711,128.33042,36.093275,446.93,0,0
27042271,20193338814,802,128.324788,36.091094,451.97,0,0
27042321,20193338814,816,128.323468,36.09109,479.79,0,0
27042331,20193338814,826,128.322594,36.091673,443.09,0,0
27042341,20193338814,836,128.321572,36.091508,431.86,0,0
27042351,20193338814,846,128.320718,36.090977,474.62,0,0
27042361,20193338814,856,128.319672,36.090801,499.88,0,0
27042371,20193338814,866,128.318637,36.090496,483.87,0,0
27042381,20193338814,876,128.31817,36.089709,487.52,0,0
27042401,20193338814,883,128.317754,36.089114,490.91,0,0
27042411,20193338814,886,128.31757,36.088853,487.55,0,0
27042441,20193338814,896,128.316549,36.088595,466.34,0,0
27042471,20193338814,906,128.316033,36.089026,448.55,0,0
27042501,20193338814,916,128.316073,36.089952,427.2,0,0
27042531,20193338814,926,128.315965,36.090858,420.1,0,0
27042571,20193338814,939,128.316151,36.091938,382.4,0,0
27042581,20193338814,942,128.316108,36.092233,371,0,0
27042601,20193338814,949,128.315977,36.092797,354.41,0,0
27042621,20193338814,956,128.31581,36.093314,338.38,0,0
27042651,20193338814,966,128.316245,36.093905,328.27,0,0
27042681,20193338814,976,128.317039,36.094474,318.14,0,0
27042711,20193338814,986,128.317922,36.095158,284.84,0,0
27042721,20193338814,989,128.318183,36.095375,284.66,0,0
27042751,20193338814,999,128.318386,36.096018,264.21,0,0
27042771,20193338814,1006,128.31884,36.096429,267.95,0,0
27042821,20193338814,1023,128.318907,36.097617,240.78,0,0
27042851,20193338814,1033,128.31918,36.098539,226.8,0,0
27042861,20193338814,1043,128.31924,36.09946,227.38,0,0
27042871,20193338814,1053,128.319651,36.100473,213.9,0,0
27042881,20193338814,1063,128.319719,36.101342,204.62,0,0
27042891,20193338814,1073,128.319021,36.101983,174.7,0,0
27042911,20193338814,1080,128.318338,36.10253,173.51,0,0
27042951,20193338814,1093,128.317616,36.103593,160.61,0,0
27042981,20193338814,1103,128.317248,36.104563,161.99,0,0
27043011,20193338814,1113,128.31723,36.105572,145.74,0,0
27043071,20193338814,1133,128.316707,36.107499,141.85,0,0
27043101,20193338814,1143,128.316424,36.108474,139.34,0,0
27043131,20193338814,1153,128.316687,36.109439,134.74,0,0
27043161,20193338814,1163,128.316671,36.110409,129.26,0,0
27043191,20193338814,1173,128.316447,36.111447,121.41,0,0
27043221,20193338814,1183,128.315717,36.112083,119.1,0,0
27043251,20193338814,1193,128.3154,36.112749,109.7,0,0
27043261,20193338814,1196,128.315168,36.113026,117.33,0,0
27038672,20193338814,16,36.11378,128.315545,104.28,0,0
27038682,20193338814,26,36.114547,128.3157,112.14,0,0
27038692,20193338814,36,36.115265,128.31622,98.85,0,0
27038702,20193338814,46,36.116053,128.316901,113.45,0,0
27038742,20193338814,64,36.117108,128.318503,111.99,0,0
27038762,20193338814,71,36.117589,128.31903,93.13,0,0
27038802,20193338814,84,36.118451,128.320111,111.85,0,0
27038842,20193338814,97,36.11963,128.319964,115.1,0,0
27039012,20193338814,134,36.121223,128.320777,95.9,0,0
27039022,20193338814,136,36.121359,128.320978,96.5,0,0
27039032,20193338814,138,36.121444,128.32122,96.01,0,0
27039042,20193338814,140,36.121616,128.321341,86.44,0,0
27039052,20193338814,142,36.121803,128.321357,77.75,0,0
27039062,20193338814,144,36.121946,128.321474,88.85,0,0
27039172,20193338814,165,36.122738,128.323948,85.93,0,0
27039512,20193338814,233,36.124279,128.329531,47.74,0,0
27039622,20193338814,256,36.122481,128.330302,63.5,0,0
27039632,20193338814,259,36.122339,128.330183,86.68,0,0
27039672,20193338814,273,36.121169,128.33049,107.82,0,0
27039732,20193338814,285,36.120233,128.330431,130.02,0,0
27039742,20193338814,287,36.120058,128.330529,136.88,0,0
27039762,20193338814,293,36.119775,128.330088,133.51,0,0
27039782,20193338814,300,36.119985,128.329449,164.82,0,0
27039922,20193338814,329,36.118926,128.326596,143.53,0,0
27039942,20193338814,332,36.118829,128.3263,140.96,0,0
27039982,20193338814,338,36.118862,128.325672,154.43,0,0
27040062,20193338814,349,36.11848,128.324605,164.73,0,0
27040122,20193338814,357,36.11831,128.323778,192.42,0,0
27040192,20193338814,367,36.118345,128.323049,207.41,0,0
27040212,20193338814,370,36.1182,128.32291,211.57,0,0
27040312,20193338814,387,36.11674,128.323251,190.35,0,0
27040322,20193338814,389,36.116601,128.323319,192.44,0,0
27040352,20193338814,395,36.116074,128.323229,211.13,0,0
27040362,20193338814,397,36.115898,128.323171,213.19,0,0
27040372,20193338814,399,36.115704,128.323122,203.86,0,0
27040422,20193338814,409,36.114912,128.32305,230.48,0,0
27040432,20193338814,411,36.114794,128.322949,248.3,0,0
27040442,20193338814,413,36.114648,128.322887,262.44,0,0
27040452,20193338814,415,36.11453,128.322832,275.44,0,0
27040462,20193338814,417,36.114408,128.322674,268.73,0,0
27040472,20193338814,419,36.114262,128.322581,287,0,0
27040482,20193338814,421,36.114083,128.322496,288.13,0,0
27040542,20193338814,430,36.113299,128.322202,253.77,0,0
27040552,20193338814,432,36.113191,128.322061,276.21,0,0
27040602,20193338814,439,36.112631,128.32181,265.43,0,0
27040682,20193338814,450,36.111719,128.32198,268.52,0,0
27040702,20193338814,453,36.111478,128.32205,277.32,0,0
27040742,20193338814,459,36.110923,128.321952,273.01,0,0
27040812,20193338814,469,36.110207,128.321278,274.9,0,0
